Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword
A2185,Data Analytics Course,130,3715,243.34,12,8,6.15,1482.0,11-Jan-24,Hyderabad,Desktop,Data Analyticss Online
A1320,Data Analytics Course,182,3384,187.67,18,8,4.4,1769.0,11-Jan-24,Hyderabad,Desktop,Analyticss For Data
A1731,Data Analytics Course,142,3565,180.39,26,5,3.52,1147.0,11-Jan-24,Hyderabad,Tablet,Data Anaytics Training
A2416,Data Analytics Course,148,4721,189.48,26,8,5.41,1176.0,11-Jan-24,Hyderabad,Mobile,Online Data Analytics
A2961,Data Analytics Course,149,5936,246.58,14,6,4.03,1396.0,11-Jan-24,Hyderabad,Desktop,Learn Data Analyticss
A1687,Data Analytics Course,182,5857,192.69,15,4,2.2,1384.0,11-Feb-24,Hyderabad,Desktop,Data Analyticss Course
A3526,Data Analytics Course,155,4676,219.3,26,7,4.52,1787.0,11-Feb-24,Hyderabad,Tablet,Learn Data Analyticss
A3120,Data Analytics Course,128,5022,188.96,26,6,4.69,1108.0,11-Feb-24,Hyderabad,Mobile,Data Anaytics Training
A2977,Data Analytics Course,165,5455,191.75,30,5,3.03,1145.0,11-Feb-24,Hyderabad,Desktop,Data Anaytics Training
A1804,Data Analytics Course,154,3452,215.61,21,7,4.55,1631.0,11-Feb-24,Hyderabad,Mobile,Analyticss For Data
A1856,Data Analytics Course,105,5645,218.24,17,6,5.71,1420.0,11-Feb-24,Hyderabad,Mobile,Online Data Analytics
A3212,Data Analytics Course,150,3456,242.22,16,7,4.67,1215.0,11-Feb-24,Hyderabad,Desktop,Data Anaytics Training
A2352,Data Analytics Course,123,4976,244.49,14,4,3.25,1579.0,11-Feb-24,Hyderabad,Desktop,Analyticss For Data
A1630,Data Analytics Course,149,4670,218.31,10,10,6.71,1623.0,11-Feb-24,Hyderabad,Mobile,Analyticss For Data
A1089,Data Analytics Course,176,5847,241.04,13,6,3.41,1194.0,11-Feb-24,Hyderabad,Desktop,Online Data Analytics
A2251,Data Analytics Course,84,4463,198.44,17,3,3.57,1110.0,11-Feb-24,Hyderabad,Mobile,Analyticss For Data
A1308,Data Analytics Course,147,5870,215.09062325209752,14,8,5.44,1748.0,11-Feb-24,Hyderabad,Mobile,Data Anaytics Training
A3155,Data Analytics Course,98,5835,232.82,19,6,6.12,1989.0,11-Feb-24,Hyderabad,Mobile,Data Analyticss Online
A3384,Data Analytics Course,101,3286,196.59,12,9,8.91,1034.0,11-Feb-24,Hyderabad,Tablet,Analyticss For Data
A1351,Data Analytics Course,137,3602,194.55,23,5,3.65,1580.0,11-Feb-24,Hyderabad,Tablet,Data Analyticss Course
A3159,Data Analytics Course,91,5509,186.22,29,5,5.49,1928.0,11-Feb-24,Hyderabad,Mobile,Learn Data Analyticss
A3525,Data Analytics Course,105,3030,185.91,24,5,4.76,1263.0,11-Feb-24,Hyderabad,Desktop,Data Analyticss Course
A2194,Data Analytics Course,83,4476,204.88,27,8,9.64,1359.0,11-Feb-24,Hyderabad,Tablet,Online Data Analytics
A2415,Data Analytics Course,192,5720,243.11,30,9,4.69,1555.0,11-Feb-24,Hyderabad,Mobile,Online Data Analytics
A1946,Data Analytics Course,144,3579,237.97,21,10,6.94,1155.0,11-Feb-24,Hyderabad,Desktop,Data Analyticss Course
A3533,Data Analytics Course,130,5340,221.95,27,7,5.38,1488.0,11-Feb-24,Hyderabad,Tablet,Data Analyticss Online
A1618,Data Analytics Course,181,5678,226.89,22,10,5.52,1992.0,11-Feb-24,Hyderabad,Tablet,Data Anaytics Training
A1379,Data Analytics Course,87,5358,236.57,19,5,5.75,1141.0,11-Feb-24,Hyderabad,Tablet,Learn Data Analyticss
A1902,Data Analytics Course,176,5768,238.94,14,8,4.55,1016.0,11-Feb-24,Hyderabad,Tablet,Data Analyticss Online
A1711,Data Analytics Course,139,5916,234.46,17,6,4.32,1982.0,11-Feb-24,Hyderabad,Desktop,Data Analyticss Course
A3409,Data Analytics Course,89,3915,207.63,10,7,7.87,1454.0,11-Feb-24,Hyderabad,Desktop,Data Analyticss Course
A1714,Data Analytics Course,121,5517,222.14,16,7,5.79,1682.0,11-Feb-24,Hyderabad,Tablet,Learn Data Analyticss
A1571,Data Analytics Course,147,4523,205.83,25,8,5.44,1728.0,11-Feb-24,Hyderabad,Desktop,Data Analyticss Course
A2622,Data Analytics Course,83,4359,227.14,20,10,12.05,1498.65,11-Feb-24,Hyderabad,Desktop,Data Analyticss Online
A1738,Data Analytics Course,146,5297,198.89,30,8,5.48,2000.0,11-Feb-24,Hyderabad,Desktop,Data Anaytics Training
A2772,Data Analytics Course,146,3560,214.16,26,3,2.05,1033.0,11-Feb-24,Hyderabad,Desktop,Analyticss For Data
A2349,Data Analytics Course,139,3547,238.34,13,5,3.6,1130.0,11-Feb-24,Hyderabad,Desktop,Data Analyticss Online
A3246,Data Analytics Course,165,5661,215.09062325209752,28,6,3.64,1848.0,11-Feb-24,Hyderabad,Desktop,Data Analyticss Online
A1732,Data Analytics Course,92,4296,239.12,11,10,10.87,1169.0,11-Feb-24,Hyderabad,Tablet,Data Anaytics Training
A1219,Data Analytics Course,92,3748,208.15,14,8,8.7,1297.0,11-Feb-24,Hyderabad,Desktop,Analyticss For Data
A1026,Data Analytics Course,119,5323,205.92,17,10,8.4,1656.0,11-Feb-24,Hyderabad,Desktop,Online Data Analytics
A2468,Data Analytics Course,116,4250,216.66,10,9,7.76,1877.0,11-Feb-24,Hyderabad,Mobile,Data Anaytics Training
A1250,Data Analytics Course,106,5830,241.9,29,10,9.43,1897.0,11-Feb-24,Hyderabad,Desktop,Data Anaytics Training
A2340,Data Analytics Course,178,4523,203.6,12,3,1.69,1155.0,11-Feb-24,Hyderabad,Tablet,Analyticss For Data
A1221,Data Analytics Course,177,3007,223.22,30,8,4.52,1766.0,11-Feb-24,Hyderabad,Mobile,Data Analyticss Online
A2875,Data Analytics Course,103,5900,231.39,24,10,9.71,1963.0,11-Feb-24,Hyderabad,Mobile,Data Anaytics Training
A2461,Data Analytics Course,127,5050,184.77,28,9,7.09,1906.0,11-Feb-24,Hyderabad,Desktop,Data Analyticss Online
A3480,Data Analytics Course,172,5955,216.07,15,7,4.07,1323.0,11-Feb-24,Hyderabad,Mobile,Learn Data Analyticss
A2018,Data Analytics Course,121,3366,246.56,25,7,5.79,1170.0,11-Feb-24,Hyderabad,Desktop,Online Data Analytics
A3105,Data Analytics Course,193,4523,238.8,20,5,2.59,1327.0,11-Feb-24,Hyderabad,Mobile,Data Anaytics Training
A1638,Data Analytics Course,146,5457,215.09062325209752,15,5,3.42,1029.0,11-Feb-24,Hyderabad,Desktop,Data Analyticss Course
A2140,Data Analytics Course,127,4634,218.04,26,7,5.51,1410.0,11-Feb-24,Hyderabad,Tablet,Learn Data Analyticss
A1756,Data Analytics Course,139,4373,199.32,16,5,3.6,1150.0,11-Feb-24,Hyderabad,Desktop,Data Anaytics Training
A2016,Data Analytics Course,106,3646,237.89,28,7,6.6,1564.0,11-Feb-24,Hyderabad,Mobile,Analyticss For Data
A1374,Data Analytics Course,120,4618,200.91,18,7,5.83,1775.0,11-Feb-24,Hyderabad,Tablet,Data Analyticss Online
A1787,Data Analytics Course,96,5503,243.51,11,6,6.25,1687.0,11-Feb-24,Hyderabad,Desktop,Data Analyticss Online
A1581,Data Analytics Course,146,4484,194.67,27,9,6.16,1234.0,11-Feb-24,Hyderabad,Tablet,Data Anaytics Training
A2079,Data Analytics Course,138,5506,192.89,27,6,4.35,1261.0,11-Feb-24,Hyderabad,Tablet,Learn Data Analyticss
A3597,Data Analytics Course,113,3808,233.25,18,4,3.54,1085.0,11-Feb-24,Hyderabad,Desktop,Data Anaytics Training
A1439,Data Analytics Course,100,5481,180.72,14,7,7.0,1185.0,11-Feb-24,Hyderabad,Desktop,Analyticss For Data
A3417,Data Analytics Course,174,3957,181.56,12,3,1.72,1385.0,11-Feb-24,Hyderabad,Desktop,Data Anaytics Training
A3047,Data Analytics Course,136,5011,236.62,25,5,3.68,1582.0,11-Mar-24,Hyderabad,Mobile,Data Analyticss Course
A1557,Data Analytics Course,100,4643,214.46,16,9,9.0,1179.0,11-Mar-24,Hyderabad,Tablet,Online Data Analytics
A2308,Data Analytics Course,105,5151,188.18,14,9,8.57,1595.0,11-Mar-24,Hyderabad,Tablet,Online Data Analytics
A2306,Data Analytics Course,151,4805,241.95,22,3,1.99,1571.0,11-Mar-24,Hyderabad,Tablet,Online Data Analytics
A1555,Data Analytics Course,190,4808,199.94,16,6,3.16,1454.0,11-Mar-24,Hyderabad,Desktop,Data Analyticss Online
A2916,Data Analytics Course,196,3834,216.22,10,3,1.53,1727.0,11-Mar-24,Hyderabad,Mobile,Data Analyticss Online
A3079,Data Analytics Course,154,5633,245.95,29,7,4.55,1604.0,11-Mar-24,Hyderabad,Tablet,Learn Data Analyticss
A2307,Data Analytics Course,133,4474,198.99,10,7,5.26,1394.0,11-Mar-24,Hyderabad,Mobile,Online Data Analytics
A1589,Data Analytics Course,88,5196,197.32,26,5,5.68,1438.0,11-Mar-24,Hyderabad,Desktop,Online Data Analytics
A1567,Data Analytics Course,133,5762,196.02,10,5,3.76,1498.65,11-Mar-24,Hyderabad,Tablet,Data Analyticss Course
A3313,Data Analytics Course,160,3816,207.93,27,9,5.62,1884.0,11-Mar-24,Hyderabad,Mobile,Analyticss For Data
A2323,Data Analytics Course,127,5221,226.67,17,3,2.36,1384.0,11-Mar-24,Hyderabad,Tablet,Data Anaytics Training
A3506,Data Analytics Course,81,5068,204.53,20,9,11.11,1773.0,11-Mar-24,Hyderabad,Tablet,Data Analyticss Online
A1930,Data Analytics Course,135,5436,245.86,28,9,6.67,1453.0,11-Mar-24,Hyderabad,Desktop,Data Analyticss Online
A1167,Data Analytics Course,123,5964,215.09062325209752,17,6,4.88,1363.0,11-Mar-24,Hyderabad,Desktop,Data Anaytics Training
A2819,Data Analytics Course,125,5217,183.16,16,10,8.0,1245.0,11-Mar-24,Hyderabad,Tablet,Learn Data Analyticss
A1166,Data Analytics Course,92,4185,218.46,21,9,9.78,1567.0,11-Mar-24,Hyderabad,Mobile,Data Analyticss Online
A1623,Data Analytics Course,139,3423,223.95,30,4,2.88,1480.0,11-Mar-24,Hyderabad,Desktop,Analyticss For Data
A2905,Data Analytics Course,134,3647,209.89,21,7,5.22,1744.0,11-Mar-24,Hyderabad,Desktop,Learn Data Analyticss
A3401,Data Analytics Course,187,4793,186.41,30,9,4.81,1120.0,11-Mar-24,Hyderabad,Desktop,Data Analyticss Course
A3304,Data Analytics Course,131,5528,182.38,27,6,4.58,1168.0,11-Mar-24,Hyderabad,Desktop,Analyticss For Data
A3190,Data Analytics Course,103,4796,180.64,26,7,6.8,1102.0,11-Mar-24,Hyderabad,Mobile,Data Anaytics Training
A1905,Data Analytics Course,191,3057,223.28,27,6,3.14,1208.0,11-Mar-24,Hyderabad,Desktop,Data Analyticss Online
A3514,Data Analytics Course,181,3652,206.2,27,7,3.87,1690.0,11-Mar-24,Hyderabad,Tablet,Analyticss For Data
A3072,Data Analytics Course,99,4032,186.45,19,5,5.05,1074.0,11-Mar-24,Hyderabad,Desktop,Data Analyticss Course
A1259,Data Analytics Course,185,3716,218.23,27,7,3.78,1015.0,11-Mar-24,Hyderabad,Desktop,Online Data Analytics
A2148,Data Analytics Course,167,4475,231.64,13,5,2.99,1750.0,11-Mar-24,Hyderabad,Desktop,Online Data Analytics
A3193,Data Analytics Course,96,4851,229.12,27,6,6.25,1271.0,11-Mar-24,Hyderabad,Tablet,Data Anaytics Training
A1550,Data Analytics Course,84,4407,192.52,19,10,11.9,1221.0,11-Mar-24,Hyderabad,Tablet,Learn Data Analyticss
A2952,Data Analytics Course,165,4121,224.59,30,7,4.24,1569.0,11-Mar-24,Hyderabad,Mobile,Data Analyticss Course
A2932,Data Analytics Course,106,3309,217.2,25,4,3.77,1507.0,11-Mar-24,Hyderabad,Tablet,Data Analyticss Course
A2336,Data Analytics Course,124,4682,207.53,20,3,2.42,1550.0,11-Mar-24,Hyderabad,Tablet,Online Data Analytics
A1444,Data Analytics Course,169,5380,199.66,27,6,3.55,1059.0,11-Mar-24,Hyderabad,Desktop,Data Anaytics Training
A1084,Data Analytics Course,112,5814,227.38,11,8,7.14,1467.0,11-Mar-24,Hyderabad,Tablet,Analyticss For Data
A2218,Data Analytics Course,112,3870,215.05,26,6,5.36,1483.0,11-Mar-24,Hyderabad,Desktop,Learn Data Analyticss
A2579,Data Analytics Course,157,4671,248.17,14,7,4.46,1247.0,11-Mar-24,Hyderabad,Mobile,Data Anaytics Training
A2928,Data Analytics Course,142,4818,233.74,24,5,3.52,1575.0,11-Mar-24,Hyderabad,Desktop,Analyticss For Data
A2220,Data Analytics Course,105,3384,240.41,26,8,7.62,1399.0,11-Mar-24,Hyderabad,Desktop,Data Analyticss Online
A1812,Data Analytics Course,87,3643,220.76,27,7,8.05,1393.0,11-Mar-24,Hyderabad,Desktop,Data Analyticss Online
A2000,Data Analytics Course,131,4603,228.63,30,7,5.34,1270.0,11-Mar-24,Hyderabad,Tablet,Analyticss For Data
A1768,Data Analytics Course,172,5546,241.81,24,10,5.81,1681.0,11-Mar-24,Hyderabad,Desktop,Learn Data Analyticss
A1033,Data Analytics Course,176,5509,234.59,19,7,3.98,1710.0,11-Mar-24,Hyderabad,Tablet,Data Analyticss Course
A3376,Data Analytics Course,80,4413,245.4,10,5,6.25,1650.0,11-Mar-24,Hyderabad,Mobile,Data Analyticss Course
A1721,Data Analytics Course,143,5638,229.41,23,4,2.8,1398.0,11-Mar-24,Hyderabad,Desktop,Online Data Analytics
A1701,Data Analytics Course,188,5336,188.73,17,3,1.6,1601.0,11-Mar-24,Hyderabad,Tablet,Online Data Analytics
A1393,Data Analytics Course,122,3394,215.09062325209752,20,4,3.28,1053.0,11-Mar-24,Hyderabad,Mobile,Data Analyticss Online
A3015,Data Analytics Course,191,4910,232.7,14,10,5.24,1080.0,11-Mar-24,Hyderabad,Tablet,Analyticss For Data
A1990,Data Analytics Course,94,5435,231.42,21,5,5.32,1114.0,11-Mar-24,Hyderabad,Desktop,Data Analyticss Online
A3449,Data Analytics Course,184,5983,242.62,25,6,3.26,1538.0,11-Mar-24,Hyderabad,Desktop,Data Analyticss Course
A1107,Data Analytics Course,159,5127,197.16,21,4,2.52,1867.0,11-Mar-24,Hyderabad,Tablet,Learn Data Analyticss
A1432,Data Analytics Course,117,5329,212.49,14,5,4.27,1888.0,11-Mar-24,Hyderabad,Mobile,Data Analyticss Course
A3286,Data Analytics Course,84,5597,244.39,22,10,11.9,1685.0,11-Mar-24,Hyderabad,Tablet,Data Anaytics Training
A3414,Data Analytics Course,189,5740,231.73,28,5,2.65,1306.0,11-Mar-24,Hyderabad,Tablet,Online Data Analytics
A2781,Data Analytics Course,182,5136,249.36,23,7,3.85,1846.0,11-Mar-24,Hyderabad,Desktop,Learn Data Analyticss
A1969,Data Analytics Course,170,4786,202.62,27,6,3.53,1372.0,11-Apr-24,Hyderabad,Mobile,Data Anaytics Training
A2272,Data Analytics Course,175,5924,223.3,14,3,1.71,1505.0,11-Apr-24,Hyderabad,Mobile,Analyticss For Data
A1377,Data Analytics Course,190,5537,188.98,20,4,2.11,1989.0,11-Apr-24,Hyderabad,Tablet,Learn Data Analyticss
A1867,Data Analytics Course,85,3718,224.14,21,6,7.06,1938.0,11-Apr-24,Hyderabad,Desktop,Online Data Analytics
A3127,Data Analytics Course,193,3566,212.73,19,7,3.63,1311.0,11-Apr-24,Hyderabad,Desktop,Data Analyticss Online
A2705,Data Analytics Course,199,3060,237.3,19,9,4.52,1527.0,11-Apr-24,Hyderabad,Mobile,Data Analyticss Online
A2939,Data Analytics Course,193,4953,243.75,14,3,1.55,1118.0,11-Apr-24,Hyderabad,Mobile,Analyticss For Data
A3102,Data Analytics Course,184,3239,221.33,25,10,5.43,1557.0,11-Apr-24,Hyderabad,Desktop,Online Data Analytics
A3315,Data Analytics Course,134,3700,226.57,28,7,5.22,1836.0,11-Apr-24,Hyderabad,Tablet,Data Analyticss Online
A1195,Data Analytics Course,154,3638,182.17,11,8,5.19,1413.0,11-Apr-24,Hyderabad,Mobile,Online Data Analytics
A3068,Data Analytics Course,121,5092,219.15,21,6,4.96,1864.0,11-Apr-24,Hyderabad,Desktop,Analyticss For Data
A3390,Data Analytics Course,131,4320,223.08,30,7,5.34,1498.65,11-Apr-24,Hyderabad,Mobile,Analyticss For Data
A3330,Data Analytics Course,149,5035,234.52,28,5,3.36,1304.0,11-Apr-24,Hyderabad,Desktop,Online Data Analytics
A1014,Data Analytics Course,181,4311,185.09,11,9,4.97,1538.0,11-Apr-24,Hyderabad,Desktop,Data Anaytics Training
A2314,Data Analytics Course,134,5166,191.92,10,3,2.24,1526.0,11-Apr-24,Hyderabad,Mobile,Learn Data Analyticss
A1783,Data Analytics Course,90,4281,216.36,24,4,4.44,1768.0,11-Apr-24,Hyderabad,Mobile,Learn Data Analyticss
A1384,Data Analytics Course,195,5120,249.6,26,3,1.54,1571.0,11-Apr-24,Hyderabad,Mobile,Data Anaytics Training
A3566,Data Analytics Course,160,5975,212.18,14,7,4.38,1507.0,11-Apr-24,Hyderabad,Tablet,Data Analyticss Course
A3230,Data Analytics Course,124,3924,188.66,24,6,4.84,1472.0,11-Apr-24,Hyderabad,Tablet,Data Anaytics Training
A3134,Data Analytics Course,155,5150,224.6,24,7,4.52,1146.0,11-Apr-24,Hyderabad,Tablet,Data Analyticss Course
A2937,Data Analytics Course,103,3249,232.85,13,4,3.88,1397.0,11-Apr-24,Hyderabad,Desktop,Data Analyticss Course
A2828,Data Analytics Course,175,3792,227.98,17,8,4.57,1627.0,11-Apr-24,Hyderabad,Tablet,Learn Data Analyticss
A3334,Data Analytics Course,175,3958,193.52,23,8,4.57,1064.0,11-Apr-24,Hyderabad,Mobile,Data Analyticss Course
A3251,Data Analytics Course,95,4933,220.04,15,3,3.16,1366.0,11-Apr-24,Hyderabad,Mobile,Data Anaytics Training
A1757,Data Analytics Course,139,4523,234.85,11,8,5.76,1398.0,11-Apr-24,Hyderabad,Desktop,Data Anaytics Training
A3396,Data Analytics Course,97,3370,236.35,20,7,7.22,1498.65,11-Apr-24,Hyderabad,Mobile,Data Analyticss Course
A2386,Data Analytics Course,154,3312,203.23,16,5,3.25,1977.0,11-Apr-24,Hyderabad,Desktop,Data Anaytics Training
A2806,Data Analytics Course,191,5257,219.4,29,6,3.14,1730.0,11-Apr-24,Hyderabad,Mobile,Data Analyticss Online
A2029,Data Analytics Course,82,4330,228.68,18,8,9.76,1510.0,11-Apr-24,Hyderabad,Desktop,Analyticss For Data
A1824,Data Analytics Course,129,4679,239.21,19,3,2.33,1215.0,11-Apr-24,Hyderabad,Mobile,Data Analyticss Online
A2984,Data Analytics Course,119,5050,180.57,12,8,6.72,1243.0,11-Apr-24,Hyderabad,Mobile,Analyticss For Data
A3200,Data Analytics Course,140,4677,223.74,20,9,6.43,1610.0,11-Apr-24,Hyderabad,Mobile,Learn Data Analyticss
A1488,Data Analytics Course,190,4465,241.38,28,5,2.63,1910.0,11-Apr-24,Hyderabad,Desktop,Analyticss For Data
A2887,Data Analytics Course,177,3869,198.88,23,4,2.26,1909.0,11-Apr-24,Hyderabad,Desktop,Data Analyticss Course
A2278,Data Analytics Course,83,5247,231.04,27,3,3.61,1636.0,11-Apr-24,Hyderabad,Desktop,Data Analyticss Online
A1635,Data Analytics Course,111,4161,185.58,10,7,6.31,1434.0,11-Apr-24,Hyderabad,Desktop,Data Anaytics Training
A1853,Data Analytics Course,82,4163,208.08,30,8,9.76,1297.0,11-Apr-24,Hyderabad,Mobile,Data Analyticss Course
A3442,Data Analytics Course,152,3390,209.39,18,6,3.95,1620.0,11-Apr-24,Hyderabad,Desktop,Online Data Analytics
A1162,Data Analytics Course,178,4673,222.46,29,6,3.37,1219.0,11-Apr-24,Hyderabad,Tablet,Online Data Analytics
A1125,Data Analytics Course,110,4254,187.87,11,4,3.64,1172.0,11-Apr-24,Hyderabad,Mobile,Data Anaytics Training
A1102,Data Analytics Course,177,4822,197.03,26,9,5.08,1909.0,11-Apr-24,Hyderabad,Mobile,Online Data Analytics
A1963,Data Analytics Course,106,3017,242.71,24,5,4.72,1701.0,11-Apr-24,Hyderabad,Mobile,Learn Data Analyticss
A2147,Data Analytics Course,165,5937,220.65,23,6,3.64,1576.0,11-Apr-24,Hyderabad,Mobile,Analyticss For Data
A3559,Data Analytics Course,176,5314,188.23,17,8,4.55,1725.0,11-Apr-24,Hyderabad,Mobile,Analyticss For Data
A1967,Data Analytics Course,156,4771,199.3,26,8,5.13,1823.0,11-Apr-24,Hyderabad,Tablet,Data Analyticss Online
A2857,Data Analytics Course,165,4537,191.77,15,4,2.42,1783.0,11-Apr-24,Hyderabad,Tablet,Analyticss For Data
A1071,Data Analytics Course,180,3006,228.14,22,7,3.89,1556.0,11-Apr-24,Hyderabad,Tablet,Learn Data Analyticss
A2382,Data Analytics Course,124,5980,200.65,25,4,3.23,1768.0,11-Apr-24,Hyderabad,Desktop,Learn Data Analyticss
A2855,Data Analytics Course,187,3869,185.15,26,6,3.21,1881.0,11-Apr-24,Hyderabad,Mobile,Data Anaytics Training
A1136,Data Analytics Course,111,5895,205.25,29,4,3.6,1693.0,11-Apr-24,Hyderabad,Mobile,Data Analyticss Course
A2852,Data Analytics Course,157,4477,191.69,20,10,6.37,1598.0,11-Apr-24,Hyderabad,Mobile,Online Data Analytics
A2430,Data Analytics Course,158,4953,243.07,20,8,5.06,1955.0,11-Apr-24,Hyderabad,Tablet,Learn Data Analyticss
A1859,Data Analytics Course,168,4390,195.52,22,10,5.95,1553.0,11-Apr-24,Hyderabad,Desktop,Data Analyticss Course
A1128,Data Analytics Course,195,5278,193.49,30,7,3.59,1456.0,11-Apr-24,Hyderabad,Mobile,Data Analyticss Course
